"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"United Kingdom","Electricity - Gross production","2021","Kilowatt-hours, million","307316.606",""
"United Kingdom","Electricity - Gross production","2020","Kilowatt-hours, million","310748.491",""
"United Kingdom","Electricity - Gross production","2019","Kilowatt-hours, million","323198.713",""
"United Kingdom","Electricity - Gross production","2018","Kilowatt-hours, million","331997.488",""
"United Kingdom","Electricity - Gross production","2017","Kilowatt-hours, million","337429.351",""
"United Kingdom","Electricity - Gross production","2016","Kilowatt-hours, million","337244",""
"United Kingdom","Electricity - Gross production","2015","Kilowatt-hours, million","338090",""
"United Kingdom","Electricity - Gross production","2014","Kilowatt-hours, million","337760",""
"United Kingdom","Electricity - Gross production","2013","Kilowatt-hours, million","358272",""
"United Kingdom","Electricity - Gross production","2012","Kilowatt-hours, million","364057",""
"United Kingdom","Electricity - Gross production","2011","Kilowatt-hours, million","367953",""
"United Kingdom","Electricity - Gross production","2010","Kilowatt-hours, million","382790",""
"United Kingdom","Electricity - Gross production","2009","Kilowatt-hours, million","376583",""
"United Kingdom","Electricity - Gross production","2008","Kilowatt-hours, million","388628",""
"United Kingdom","Electricity - Gross production","2007","Kilowatt-hours, million","396830",""
"United Kingdom","Electricity - Gross production","2006","Kilowatt-hours, million","397283",""
"United Kingdom","Electricity - Gross production","2005","Kilowatt-hours, million","398356",""
"United Kingdom","Electricity - Gross production","2004","Kilowatt-hours, million","393927",""
"United Kingdom","Electricity - Gross production","2003","Kilowatt-hours, million","398198",""
"United Kingdom","Electricity - Gross production","2002","Kilowatt-hours, million","387247",""
"United Kingdom","Electricity - Gross production","2001","Kilowatt-hours, million","384790",""
"United Kingdom","Electricity - Gross production","2000","Kilowatt-hours, million","377069",""
"United Kingdom","Electricity - Gross production","1999","Kilowatt-hours, million","368152",""
"United Kingdom","Electricity - Gross production","1998","Kilowatt-hours, million","362703",""
"United Kingdom","Electricity - Gross production","1997","Kilowatt-hours, million","350666",""
"United Kingdom","Electricity - Gross production","1996","Kilowatt-hours, million","350869",""
"United Kingdom","Electricity - Gross production","1995","Kilowatt-hours, million","334041",""
"United Kingdom","Electricity - Gross production","1994","Kilowatt-hours, million","326487",""
"United Kingdom","Electricity - Gross production","1993","Kilowatt-hours, million","323102",""
"United Kingdom","Electricity - Gross production","1992","Kilowatt-hours, million","321043",""
"United Kingdom","Electricity - Gross production","1991","Kilowatt-hours, million","322875",""
"United Kingdom","Electricity - Gross production","1990","Kilowatt-hours, million","319737",""
"United Kingdom","From combustible fuels – Main activity","2021","Kilowatt-hours, million","136100.422",""
"United Kingdom","From combustible fuels – Main activity","2020","Kilowatt-hours, million","122693.887",""
"United Kingdom","From combustible fuels – Main activity","2019","Kilowatt-hours, million","141383.722",""
"United Kingdom","From combustible fuels – Main activity","2018","Kilowatt-hours, million","152230.413",""
