"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Algeria","Electricity - total wind production","2021","Kilowatt-hours, million","11",""
"Algeria","Electricity - total wind production","2020","Kilowatt-hours, million","8",""
"Algeria","Electricity - total wind production","2019","Kilowatt-hours, million","10",""
"Algeria","Electricity - total wind production","2018","Kilowatt-hours, million","10",""
"Argentina","Electricity - total wind production","2022","Kilowatt-hours, million","14164",""
"Argentina","Electricity - total wind production","2021","Kilowatt-hours, million","12938",""
"Argentina","Electricity - total wind production","2020","Kilowatt-hours, million","9412.333",""
"Argentina","Electricity - total wind production","2019","Kilowatt-hours, million","4996",""
"Argentina","Electricity - total wind production","2018","Kilowatt-hours, million","1413",""
"Armenia","Electricity - total wind production","2021","Kilowatt-hours, million","1.45",""
"Armenia","Electricity - total wind production","2020","Kilowatt-hours, million","1.869",""
"Armenia","Electricity - total wind production","2019","Kilowatt-hours, million","3.23",""
"Armenia","Electricity - total wind production","2018","Kilowatt-hours, million","1.881",""
"Aruba","Electricity - total wind production","2022","Kilowatt-hours, million","174","1"
"Aruba","Electricity - total wind production","2021","Kilowatt-hours, million","172","1"
"Aruba","Electricity - total wind production","2020","Kilowatt-hours, million","165","1"
"Aruba","Electricity - total wind production","2019","Kilowatt-hours, million","164.9","1"
"Aruba","Electricity - total wind production","2018","Kilowatt-hours, million","174.9","1"
"Australia","Electricity - total wind production","2021","Kilowatt-hours, million","24535.369",""
"Australia","Electricity - total wind production","2020","Kilowatt-hours, million","20395.885",""
"Australia","Electricity - total wind production","2019","Kilowatt-hours, million","17712",""
"Australia","Electricity - total wind production","2018","Kilowatt-hours, million","15164",""
"Austria","Electricity - total wind production","2021","Kilowatt-hours, million","6740.042",""
"Austria","Electricity - total wind production","2020","Kilowatt-hours, million","6791.53",""
"Austria","Electricity - total wind production","2019","Kilowatt-hours, million","7450.076",""
"Austria","Electricity - total wind production","2018","Kilowatt-hours, million","6030.429",""
"Azerbaijan","Electricity - total wind production","2021","Kilowatt-hours, million","91.401",""
"Azerbaijan","Electricity - total wind production","2020","Kilowatt-hours, million","96.101",""
"Azerbaijan","Electricity - total wind production","2019","Kilowatt-hours, million","105.401",""
"Azerbaijan","Electricity - total wind production","2018","Kilowatt-hours, million","82.7",""
"Bahrain","Electricity - total wind production","2021","Kilowatt-hours, million","1.2",""
"Bahrain","Electricity - total wind production","2020","Kilowatt-hours, million","1","1"
"Bahrain","Electricity - total wind production","2019","Kilowatt-hours, million","1","1"
"Bahrain","Electricity - total wind production","2018","Kilowatt-hours, million","1","1"
"Bangladesh","Electricity - total wind production","2021","Kilowatt-hours, million","6",""
"Bangladesh","Electricity - total wind production","2020","Kilowatt-hours, million","6",""
